Variable,Value,units
K_w,1.0,-
Λ_LE,35.0,u.deg
n_ult,9.0,-
t_o_c,0.0957,-
λ,0.4,-
A,5.0,-
S,507.03,ui.ft ** 2
W_TO,41722.0,ui.lbf
S_h,90.0,ui.ft ** 2
b_h,30.0,ui.ft
t_r_h,0.5,ui.ft
c_bar,10.687,ui.ft
l_h,20.12,ui.ft
z_h,0.0,-
M_H,0.95,-
A_v,5.0,-
S_v,44.71,ui.ft ** 2
l_v,16.12,ui.ft
S_r,20.0,ui.ft ** 2
λ_v,0.1,-
Λ_qtrchrd_v,10.0,u.deg
K_inl,1.25,-
l_f,53.0,ui.ft
h_f,15.0,ui.ft
N_inl,2.0,-
A_inl,5.0,ui.ft ** 2
l_n,10.0,ui.ft
P_2,30.0,(ui.lbf / ui.inch ** 2)
W_pwr,3829.0,-
W_F,17392.0,ui.lbf
K_fsp,6.55,(ui.lbf / ui.gallon)
N_pil,1.0,-
N_e,1.0,-
K_fcf,138.0,-
APU_est_factor,0.013,-
W_pay,14000.0,ui.lbf
PAINT_EST_FACTOR,0.006,-
,,
System,Weight [lbf],Location [% lf]
Fuel,17392,0.4
Payload,7000,0.4
Gun,1084,0.10566037735849056
Wing,4578.001423971852,0.4
Powerplant,4150,0.85
Fuselage,1440.8699761333637,0.45
Landing Gear,1428.7850622702088,0.45
Nacelle,1732.048873084358,0.5
FCS,1205.8997923875645,0.46
VT,349.466153287783,0.85
HT,508.1188819087853,0.95
APU,542.386,0.3
Avionics,528.507736,0.15
Fuel Systems,738.2806580832096,0.6
Elec. Systems,480.60543500484425,0.5
Paint,250.332,0.4
Man. Var.,103.3,0.5
Env Systems,160.04440006978058,0.3
Furnishings,100.02116825002247,0.2
O2 System,16.9,0.24
Result,Value,Units
CG,0.4537838400451574,-
CG w/out HT,0.4537838400451574,-
